Fecha (UTC),Estrategia,Motor,Modo (A/B/C),Propuesta Activa,Clase de Activo,Simbolo,Lado,Cantidad,Precio ($),Volumen ($),P&L Realizado ($),ID Orden
10/04/2026 17:21,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.46,1424.6,-,25ee8985-6f72-4bb7-a804-cba86f82ec3c
10/04/2026 17:22,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.49,1424.9,0.3,5aadae03-1a92-44f0-90e6-2f4bcad92577
10/04/2026 17:22,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,610.111,6101.11,-,d5d2bafd-0a9c-4334-a7c9-b0121707a49f
10/04/2026 17:23,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.39,1423.9,1423.9,71ba4a10-de5c-4457-a8cf-f90397723975
10/04/2026 17:23,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,609.828,6098.28,-,203efd8d-d0ea-4032-8d79-beae6493cd6f
10/04/2026 17:24,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,610.07,6100.7,1.005,36e09f7f-a74c-4f04-b80c-ebfffa7604ad
10/04/2026 17:24,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.47,1424.7,-,7dd85bd6-2c00-49ce-8054-6f88b48eb399
10/04/2026 17:27,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.53,1425.3,0.6,ad3d6f9b-c015-4efa-a865-e6918406ed94
10/04/2026 17:27,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,610.22,6102.2,-,6ce5745f-4191-4dfc-901f-398bb23fe767
10/04/2026 17:29,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,609.87,6098.7,-2.2475,25bf3606-8194-4706-ad51-00cae3ce89fd
10/04/2026 17:29,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.461,1424.61,-,e14a3f39-c9aa-443c-b1b5-30a78c3fc7fa
10/04/2026 17:35,VWAPBounce,etf,LEGACY,Legado (sin modo registrado),us_equity,SMH,BUY,20,438.0715,8761.43,-,5f354a63-dd5e-48e6-968c-fb33e672ccdd
10/04/2026 17:46,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.71,1427.1,2.49,4a32dc72-a63d-4cf4-aab6-5b47c456a6ca
10/04/2026 17:46,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,610.39,6103.9,-,b3fb51ed-61b1-4709-9b5d-a9facbee654f
10/04/2026 17:52,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,610.57,6105.7,3.2763,f65ae9c3-abb8-4972-acd2-b08a1c0e516b
10/04/2026 17:52,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.76,1427.6,-,466ecb3c-eab1-43a5-ac7f-918561b605d4
10/04/2026 17:58,VWAPBounce,etf,LEGACY,Legado (sin modo registrado),us_equity,SMH,BUY,20,439.2795,8785.59,-,5a79cfaa-d00f-44fb-8b88-168a5cd71bf4
10/04/2026 18:20,DynamicSpotGrid,crypto,LEGACY,Legado (sin modo registrado),crypto,SOL/USD,BUY,2.3544,83.67,196.99,-,1f2751bd-b4a4-49b6-82e4-121805aa9630
10/04/2026 18:20,DynamicSpotGrid,crypto,LEGACY,Legado (sin modo registrado),crypto,SOL/USD,BUY,2.3562,83.61,197,-,d445c4e3-04cd-41ec-be32-7bc75ca24350
10/04/2026 18:20,DynamicSpotGrid,crypto,LEGACY,Legado (sin modo registrado),crypto,SOL/USD,BUY,2.3562,83.55,196.86,-,86c5cb85-66f9-4188-b048-5f06cafa46c0
10/04/2026 18:42,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,610.19,6101.9,-0.5237,de635271-0455-4356-a4b4-f199d892e08e
10/04/2026 18:42,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.62,1426.2,-,5f89f56b-93d9-4b8a-bf6a-3468c39cc172
10/04/2026 18:43,RSIBuytheDip,etf,LEGACY,Legado (sin modo registrado),us_equity,TQQQ,BUY,5,48.96,244.8,-,c0945b7a-84e4-47c4-9a37-8b5baf2bd4aa
10/04/2026 18:44,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,610.17,6101.7,6101.7,5037645e-7723-44e9-9f3c-5da03cdee70d
10/04/2026 18:44,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.59,1425.9,-,5844c4b0-4c5c-4eb5-b08e-24c7d4007808
10/04/2026 18:47,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,610.19,6101.9,-,82a23600-716f-4ee7-8a82-dd3542f3f31d
10/04/2026 18:47,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.61,1426.1,-0.4667,a5d7a779-9f8f-406d-a659-ab66d7eaadee
10/04/2026 18:53,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,610.34,6103.4,-,9d3d95bd-7d80-4172-9acf-b0bf79414cfc
10/04/2026 18:53,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.7,1427,0.4333,92bed7e5-4290-463d-adc3-07b9c780e1ed
10/04/2026 18:56,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,610.35,6103.5,0.85,1d4a07a3-416f-41d0-aa70-f2d7543e65e3
10/04/2026 18:56,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,142.72,1427.2,-,5d09623a-560e-4782-b677-131f4b3d2539
10/04/2026 19:01,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,BUY,10,610.72,6107.2,-,382ed5ce-2719-42e6-afa1-895d78b47cbb
10/04/2026 19:01,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,SELL,10,142.83,1428.3,1.4167,efa663a2-e12d-4c3c-b219-d16d68e852a8
10/04/2026 19:03,VWAPBounce,etf,LEGACY,Legado (sin modo registrado),us_equity,SMH,BUY,20,438.75,8775,-,cee52770-5575-477c-b21b-3bf54f81b60b
10/04/2026 19:28,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,XLK,BUY,10,143,1430,-,94ed2510-4171-49ee-968a-a8602932f630
10/04/2026 19:28,PairsTrading,etf,LEGACY,Legado (sin modo registrado),us_equity,QQQ,SELL,10,611.26,6112.6,7.675,42ddcd3c-52a9-4af5-a641-22a8c1b1ae09
10/04/2026 19:30,DynamicSpotGrid,crypto,LEGACY,Legado (sin modo registrado),crypto,SOL/USD,BUY,2.3444,84.03,197,-,50a5c61e-e145-4f5d-938f-6d00a93f637a
