date,sym,reason,pnl
2020-03-10,SQQQ,StopLoss,-1.8927
2020-03-12,SQQQ,TakeProfit,3.2563
2020-03-16,SQQQ,TakeProfit,3.9238
2020-03-18,SQQQ,TakeProfit,0.887
2020-03-20,SQQQ,TakeProfit,1.2377
2020-03-24,SQQQ,StopLoss,-2.8223
2020-03-26,SQQQ,MACD>=0,-1.9764
2020-03-02,SPXU,StopLoss,-1.4808
2020-03-04,SPXU,StopLoss,-1.5608
2020-03-09,SPXU,TakeProfit,3.5286
2020-03-11,SPXU,TakeProfit,1.7401
2020-03-13,SPXU,StopLoss,-3.3671
2020-03-17,SPXU,StopLoss,-1.8794
2020-03-20,SPXU,TakeProfit,1.6302
2020-03-24,SPXU,StopLoss,-3.3723
2020-03-26,SPXU,MACD>=0,-2.1113
2020-05-18,SPXU,StopLoss,-1.6224
