Fecha (UTC),Estrategia,Motor,Clase de Activo,Simbolo,Lado,Cantidad,Precio ($),Volumen ($),P&L Realizado ($),ID Orden
2026-05-06 13:54:13,DefensiveRotation,equities,us_equity,PEP,SELL,1.0,156.18,156.18,156.18,8e4f793f-8dd5-4a63-8386-0fd66b0b593c
2026-05-06 14:01:00,Micro-VWAPAVAXAggressive,crypto,crypto,AVAX/USD,BUY,1.5716,9.54,14.99,-,dad64273-ef01-4bea-a4e5-4fe5474053ad
2026-05-06 14:01:02,InverseMomentumETF,etf,us_equity,SQQQ,BUY,92.859394972,46.934184,4358.28,-,b5f7085b-1a80-4194-afdc-43e7728ff4ed
2026-05-06 14:06:00,InverseMomentumETF,etf,us_equity,SPXU,BUY,102.713222525,40.31,4140.37,-,3e46bc4b-5d4f-429b-a36d-8f8f5afa6ae0
2026-05-06 14:07:01,DefensiveRotation,equities,us_equity,PG,BUY,1.0,146.69,146.69,-,9bf23d72-d071-47ce-bfb9-2fd913d33c68
2026-05-06 14:07:02,DefensiveRotation,equities,us_equity,WMT,BUY,1.0,130.68,130.68,-,3553529f-a973-403b-a622-761b8192ea4d
2026-05-06 14:07:03,DefensiveRotation,equities,us_equity,JNJ,BUY,1.0,225.73,225.73,-,e462726e-75ce-49ff-8a09-9449e9f323a6
2026-05-06 14:10:03,DefensiveRotation,equities,us_equity,PG,SELL,1.0,146.45,146.45,-0.24,b9fa02e9-b9be-442d-bd6c-efbc8f4f593b
2026-05-06 14:10:05,DefensiveRotation,equities,us_equity,JNJ,SELL,1.0,224.92,224.92,-0.81,f300e4ab-c3c7-4563-a7e8-5583f42b534c
2026-05-06 14:10:08,DefensiveRotation,equities,us_equity,WMT,SELL,1.0,130.12,130.12,-0.56,d83e6049-442b-4b11-9b9c-b30b2390aa32
2026-05-06 14:11:01,InverseMomentumETF,etf,us_equity,SQQQ,SELL,92.859394972,46.8,4345.82,-12.4603,b3af5237-22ee-491d-bc85-b5d61c26a078
2026-05-06 14:11:03,InverseMomentumETF,etf,us_equity,SPXU,SELL,102.713222525,40.24,4133.18,-7.1899,162cbc90-45ac-45d2-a887-d88128fa073a
2026-05-06 14:18:06,InverseMomentumETF,etf,us_equity,SQQQ,BUY,92.540161495,47.084639,4357.22,-,e3bd138b-a169-4058-9076-0a85ffd6eb34
2026-05-06 14:19:01,InverseMomentumETF,etf,us_equity,SPXU,BUY,102.764647467,40.28,4139.36,-,e04075b1-abbc-43fd-b8f8-e13724c0cc18
2026-05-06 14:24:01,InverseMomentumETF,etf,us_equity,SPXU,SELL,102.764647467,40.19,4130.11,-9.2488,54cff914-107f-4ed0-af95-0e67ca81d830
2026-05-06 14:26:02,RSI+VIXFilter,etf,us_equity,SPY,SELL,6.340211735,730.448959,4631.2,4631.2011,b15206c5-0344-4a25-b574-a8b2c58e5742
2026-05-06 14:28:02,InverseMomentumETF,etf,us_equity,SQQQ,SELL,92.540161495,46.931896,4343.09,-14.1348,c066beed-3123-4d43-9f69-f0c29565f879
2026-05-06 15:13:01,DefensiveRotation,equities,us_equity,PEP,BUY,1.0,155.31,155.31,-,c768a9f2-3e82-4504-a08a-96be9266cae9
2026-05-06 15:13:02,DefensiveRotation,equities,us_equity,KO,BUY,2.0,78.79,157.58,-,23ff9d39-2279-4f1c-b5ad-a93a0b4d906a
2026-05-06 15:13:02,DefensiveRotation,equities,us_equity,JNJ,BUY,1.0,223.84,223.84,-,f3c7b0ad-6d13-4b2b-8f06-efc8fa56640c
2026-05-06 15:14:01,DefensiveRotation,equities,us_equity,WMT,BUY,1.0,129.85,129.85,-,572767f5-2641-46bb-8aa0-b3baf921332c
2026-05-06 15:14:02,DefensiveRotation,equities,us_equity,PG,BUY,1.0,146.23,146.23,-,fcd6821f-925e-424c-9a99-4506c9aef15e
2026-05-06 15:20:03,DefensiveRotation,equities,us_equity,KO,SELL,2.0,78.685,157.37,-0.21,6be382c1-f6be-4487-8324-176980df07a9
2026-05-06 15:20:05,DefensiveRotation,equities,us_equity,PG,SELL,1.0,145.99,145.99,-0.24,d50da43a-888e-4fa2-a508-dbb82904f56e
2026-05-06 15:20:08,DefensiveRotation,equities,us_equity,JNJ,SELL,1.0,223.64,223.64,-0.2,90eafd8b-f59a-402e-a6d9-40735533c354
2026-05-06 15:20:11,DefensiveRotation,equities,us_equity,WMT,SELL,1.0,129.86,129.86,0.01,2a17241a-150b-402b-ad92-79da20327352
2026-05-06 15:20:13,DefensiveRotation,equities,us_equity,PEP,SELL,1.0,154.96,154.96,-0.35,48465576-a525-4b8a-9789-f70f52da0b93
2026-05-06 15:34:01,DefensiveRotation,equities,us_equity,JNJ,BUY,1.0,223.69,223.69,-,f761ace5-9bb5-4368-9a9a-fb4b9471ef63
2026-05-06 15:34:01,DefensiveRotation,equities,us_equity,PEP,BUY,1.0,155.27,155.27,-,e3d8cd97-78b2-4da7-a386-d29f5f984706
2026-05-06 15:34:02,DefensiveRotation,equities,us_equity,KO,BUY,2.0,78.8,157.6,-,83a4766e-c717-4173-992c-425392d4cda7
2026-05-06 15:36:01,DefensiveRotation,equities,us_equity,WMT,BUY,1.0,129.98,129.98,-,5b47fa70-70ab-411d-847b-ad0fb70605cc
2026-05-06 15:36:02,DefensiveRotation,equities,us_equity,PG,BUY,1.0,146.4,146.4,-,d678afe8-a362-4dc3-ac9e-540812e97435
2026-05-06 15:39:01,RSI+VIXFilter,etf,us_equity,SPY,BUY,6.215021869,731.6,4546.91,-,d5e80615-fe86-4419-bea9-942459288f20
2026-05-06 15:56:03,DefensiveRotation,equities,us_equity,KO,SELL,2.0,78.8,157.6,0.0,db666413-b0ef-4579-ad55-effc6e2196de
2026-05-06 15:56:05,DefensiveRotation,equities,us_equity,PG,SELL,1.0,147.12,147.12,0.72,5796d82a-f279-4701-98e6-5cd9949a6c03
2026-05-06 15:56:08,DefensiveRotation,equities,us_equity,JNJ,SELL,1.0,224.44,224.44,0.75,2492e7e4-7b8f-48d4-8118-b582a1c0826c
2026-05-06 15:56:10,DefensiveRotation,equities,us_equity,WMT,SELL,1.0,130.05,130.05,0.07,5a365e54-fdab-4e89-a809-30d525f4309a
2026-05-06 15:56:13,DefensiveRotation,equities,us_equity,PEP,SELL,1.0,155.27,155.27,0.0,1822dc6f-4e75-47c7-a80b-0388117aa771
2026-05-06 16:01:02,DefensiveRotation,equities,us_equity,WMT,BUY,1.0,129.95,129.95,-,c9b028f7-1533-44e7-b5b5-931f04c8751f
2026-05-06 16:01:03,DefensiveRotation,equities,us_equity,PG,BUY,1.0,146.88,146.88,-,315cd550-9232-4cab-8871-ceeefe5a880c
2026-05-06 16:01:03,DefensiveRotation,equities,us_equity,KO,BUY,2.0,78.72,157.44,-,407a7970-e31d-414d-90a9-4c61fff1dfc6
2026-05-06 16:02:01,DefensiveRotation,equities,us_equity,PEP,BUY,1.0,155.2,155.2,-,e0a4439b-6558-462f-b9a8-f9f45f172b0d
2026-05-06 16:03:04,DefensiveRotation,equities,us_equity,KO,SELL,2.0,78.73,157.46,0.02,899b06f8-9793-4617-bb4b-3355f82dc618
2026-05-06 16:03:06,DefensiveRotation,equities,us_equity,PG,SELL,1.0,146.92,146.92,0.04,8e75915c-024b-4a5a-a31a-c379b2b3426a
2026-05-06 16:03:08,DefensiveRotation,equities,us_equity,WMT,SELL,1.0,129.8,129.8,-0.15,8d0041bf-c81e-455d-82d3-28db00fcf2e7
2026-05-06 16:03:11,DefensiveRotation,equities,us_equity,PEP,SELL,1.0,155.12,155.12,-0.08,5d63c089-798d-43ce-9ced-9bad2836808f
2026-05-06 16:10:02,DefensiveRotation,equities,us_equity,KO,BUY,2.0,78.64,157.28,-,7e1bcf8c-ec46-4b77-b77f-7dfd1000f0ca
2026-05-06 16:10:02,DefensiveRotation,equities,us_equity,WMT,BUY,1.0,129.84,129.84,-,83ea8249-c890-4aa1-a96d-1f431ac324b5
2026-05-06 16:10:02,DefensiveRotation,equities,us_equity,PEP,BUY,1.0,155.27,155.27,-,7201be3b-89b9-4e67-9def-77448a816c3d
2026-05-06 16:10:02,DefensiveRotation,equities,us_equity,JNJ,BUY,1.0,224.21,224.21,-,4b392425-af80-4e73-9727-d849e6bfbcf0
2026-05-06 16:11:01,DefensiveRotation,equities,us_equity,PG,BUY,1.0,146.7,146.7,-,16d0b671-e449-4de4-954d-3692bd574634
2026-05-06 16:13:03,DefensiveRotation,equities,us_equity,KO,SELL,2.0,78.66,157.32,0.04,2cda61fb-560b-4f10-8948-a30796e3dca7
2026-05-06 16:13:05,DefensiveRotation,equities,us_equity,PG,SELL,1.0,146.9,146.9,0.2,b9366cbe-0a41-4536-9d8a-959329a38dfc
2026-05-06 16:13:08,DefensiveRotation,equities,us_equity,JNJ,SELL,1.0,224.16,224.16,-0.05,83de89fa-42b5-457c-838d-e1a4825993f3
2026-05-06 16:13:11,DefensiveRotation,equities,us_equity,WMT,SELL,1.0,129.86,129.86,0.02,ceefd021-5bf5-493b-8361-52038c4c688f
2026-05-06 16:13:14,DefensiveRotation,equities,us_equity,PEP,SELL,1.0,155.15,155.15,-0.12,4db5420d-1bc6-4545-948e-1f491a01e9e4
2026-05-06 16:31:01,DefensiveRotation,equities,us_equity,JNJ,BUY,1.0,223.71,223.71,-,d62bcc26-0df3-480f-bc93-5eee2a4c65b4
